Date, Open, High, Low, Close, Volume
12/31/24, 771.00, 773.91, 764.30, 772.00, 2327004
12/30/24, 777.915, 779.76, 771.00, 773.84, 1719073
12/27/24, 790.00, 793.295, 779.22, 783.17, 2096535
12/26/24, 794.12, 803.9099, 791.50, 794.14, 1274993
12/24/24, 791.37, 797.75, 787.10, 795.67, 1165383
12/23/24, 785.17, 799.36, 773.07, 796.28, 3622297
12/20/24, 811.35, 811.35, 766.61, 767.76, 9942293
12/19/24, 765.10, 772.97, 752.395, 757.54, 4036350
12/18/24, 775.00, 779.00, 762.50, 764.71, 3354209
12/17/24, 777.86, 788.00, 772.43, 778.62, 3924764
12/16/24, 792.00, 799.7826, 775.25, 779.00, 3426211
12/13/24, 777.13, 794.245, 772.99, 789.12, 3059403
12/12/24, 796.73, 801.8365, 778.3901, 782.35, 2823840
12/11/24, 795.25, 799.4999, 786.3701, 796.03, 3510878
12/10/24, 809.265, 813.9999, 797.00, 799.58, 2695247
12/09/24, 823.70, 823.70, 801.28, 803.58, 3175956
12/06/24, 827.68, 841.00, 825.6901, 826.71, 3047127
12/05/24, 827.78, 831.13, 817.46, 825.62, 2423388
12/04/24, 828.10, 846.4629, 820.50, 829.84, 3871090
12/03/24, 802.93, 817.13, 801.61, 813.33, 2782067
12/02/24, 798.11, 805.35, 795.2201, 799.80, 2895629
11/29/24, 791.33, 800.33, 789.331, 795.35, 2206918
11/27/24, 788.12, 794.83, 780.30, 788.19, 2714656
11/26/24, 785.20, 807.00, 773.95, 789.32, 6622610
11/25/24, 750.00, 755.00, 740.01, 755.00, 5690465
11/22/24, 757.05, 761.2799, 745.0812, 748.01, 4015450
11/21/24, 746.12, 752.9999, 735.00, 749.92, 4143204
11/20/24, 735.785, 757.37, 735.46, 753.41, 5158855
11/19/24, 716.31, 730.00, 712.42, 729.73, 5832480
11/18/24, 733.19, 734.00, 711.4001, 727.20, 9154351
11/15/24, 775.19, 777.98, 744.20, 746.20, 7334562
11/14/24, 809.19, 809.19, 783.51, 786.23, 3998847
11/13/24, 820.32, 829.105, 811.29, 811.81, 3059268
11/12/24, 830.20, 833.99, 810.7201, 818.86, 3378563
11/11/24, 831.30, 844.00, 824.625, 832.44, 3342750
11/08/24, 803.50, 847.27, 801.26, 831.54, 7212870
11/07/24, 784.65, 802.55, 778.19, 797.45, 4557575
11/06/24, 817.33, 820.73, 767.61, 776.38, 8257862
11/05/24, 803.825, 809.21, 797.49, 806.06, 3733279
11/04/24, 805.00, 820.19, 803.68, 806.14, 3918122
11/01/24, 828.00, 833.00, 816.73, 818.93, 5266277
10/31/24, 836.51, 853.50, 825.24, 829.74, 6582820
10/30/24, 798.50, 860.50, 769.00, 846.83, 18257230
10/29/24, 898.21, 907.98, 898.21, 903.58, 3187510
10/28/24, 894.87, 898.2099, 890.78, 895.59, 2084102
10/25/24, 899.73, 900.96, 889.4501, 892.70, 2228327
10/24/24, 898.33, 900.00, 888.28, 891.32, 1797145
10/23/24, 905.62, 907.9499, 891.73, 903.25, 2646589
10/22/24, 901.675, 911.12, 900.2001, 909.15, 1391776
10/21/24, 917.98, 918.86, 904.56, 906.13, 1592229
10/18/24, 917.18, 920.9199, 905.62, 917.97, 2286912
10/17/24, 921.00, 930.51, 916.04, 917.12, 2191188
10/16/24, 910.03, 917.805, 897.835, 916.42, 1645364
10/15/24, 924.44, 926.52, 907.8001, 913.32, 2284189
10/14/24, 936.00, 937.00, 926.00, 929.51, 1550385
10/11/24, 916.04, 932.24, 911.1845, 932.06, 2293874
10/10/24, 920.00, 922.00, 905.15, 910.69, 1682053
10/09/24, 916.285, 921.35, 912.00, 919.74, 1820128
10/08/24, 903.00, 921.9682, 902.225, 913.72, 2200027
10/07/24, 890.51, 905.275, 889.565, 898.40, 2915667
10/04/24, 885.91, 888.97, 876.89, 887.16, 1971436
10/03/24, 889.54, 892.00, 880.88, 885.55, 1974677
10/02/24, 880.00, 893.3499, 878.70, 891.07, 1751600
10/01/24, 888.83, 891.2699, 878.87, 884.48, 2455232
09/30/24, 864.52, 887.4299, 858.81, 885.94, 3246793
09/27/24, 893.62, 901.21, 875.61, 877.79, 4377346
09/26/24, 920.255, 921.85, 905.30, 909.32, 2692979
09/25/24, 931.79, 939.30, 921.19, 924.56, 1805080
09/24/24, 922.12, 925.68, 909.20, 924.43, 2767434
09/23/24, 921.00, 922.00, 909.45, 918.52, 2291963
09/20/24, 921.99, 939.86, 913.20, 921.49, 9921754
09/19/24, 912.85, 916.81, 903.86, 915.04, 2446531
09/18/24, 906.31, 915.50, 903.46, 904.97, 1776976
09/17/24, 921.50, 921.50, 902.30, 906.18, 2248019
09/16/24, 931.13, 932.605, 920.43, 923.54, 1760296
09/13/24, 937.01, 942.35, 922.10, 923.71, 2045356
09/12/24, 924.31, 937.62, 918.63, 935.02, 2511788
09/11/24, 902.15, 921.54, 897.2032, 920.89, 2721114
09/10/24, 914.11, 915.11, 895.0001, 901.25, 1930385
09/09/24, 912.57, 915.4299, 895.915, 908.27, 2405908
09/06/24, 917.76, 927.9022, 893.00, 902.71, 3439999
09/05/24, 941.16, 943.00, 906.17, 912.75, 3201148
09/04/24, 949.75, 954.00, 938.005, 946.31, 1891673
09/03/24, 957.77, 969.65, 951.58, 956.53, 2529030
08/30/24, 945.00, 961.00, 940.51, 960.02, 2555073
08/29/24, 955.00, 957.515, 936.00, 940.20, 1762847
08/28/24, 954.15, 958.3399, 943.26, 948.94, 1701760
08/27/24, 952.50, 972.48, 949.95, 954.48, 2912853
08/26/24, 949.20, 955.00, 942.77, 950.53, 2166043
08/23/24, 955.44, 960.50, 943.11, 952.74, 2063309
08/22/24, 951.98, 972.53, 948.135, 954.17, 3183727
08/21/24, 955.615, 956.50, 939.17, 951.97, 2616984
08/20/24, 932.10, 967.00, 930.51, 949.97, 4961498
08/19/24, 922.12, 926.00, 916.5001, 921.81, 2374554
08/16/24, 928.39, 936.2969, 919.39, 922.12, 2364894
08/15/24, 936.00, 937.955, 920.00, 931.58, 3079984
08/14/24, 910.00, 934.38, 903.79, 931.68, 3562910
08/13/24, 894.08, 914.6943, 890.33, 908.05, 3506767
08/12/24, 904.21, 904.72, 883.00, 884.38, 4206064
08/09/24, 860.00, 908.49, 860.00, 891.68, 6587628
08/08/24, 875.00, 877.78, 825.24, 845.31, 9434851
08/07/24, 778.30, 786.58, 763.0201, 772.14, 4407687
08/06/24, 789.14, 806.2735, 785.00, 793.18, 3437567
08/05/24, 758.00, 792.9399, 747.55, 775.26, 4661810
08/02/24, 816.67, 820.19, 787.02, 804.46, 3515933
08/01/24, 833.62, 840.89, 820.18, 832.44, 4060732
07/31/24, 800.17, 811.14, 792.0901, 804.27, 2961662
07/30/24, 815.18, 821.90, 775.81, 790.21, 3848581
07/29/24, 814.01, 824.77, 804.00, 807.79, 2473684
07/26/24, 811.87, 822.01, 801.30, 804.62, 4173942
07/25/24, 847.00, 851.62, 806.38, 821.19, 5467973
07/24/24, 872.50, 878.34, 854.27, 859.88, 2726144
07/23/24, 870.00, 887.72, 864.08, 878.29, 2087749
07/22/24, 864.80, 874.42, 856.82, 865.97, 2904548
07/19/24, 867.66, 880.21, 853.00, 857.47, 3782167
07/18/24, 907.03, 909.87, 836.66, 848.90, 7649625
07/17/24, 910.01, 925.00, 902.64, 905.59, 4200582
07/16/24, 955.75, 956.39, 938.38, 941.60, 2111799
07/15/24, 956.20, 966.10, 948.09, 950.46, 2358671
07/12/24, 937.00, 950.79, 936.03, 948.40, 2315131
07/11/24, 934.09, 942.88, 918.62, 934.14, 2858281
07/10/24, 936.57, 945.69, 933.00, 939.78, 2683255
07/09/24, 929.05, 935.00, 920.775, 932.50, 2419859
07/08/24, 917.89, 928.605, 912.00, 918.00, 2364556
07/05/24, 898.425, 916.4595, 896.90, 914.57, 2880863
07/03/24, 911.00, 918.50, 884.00, 898.10, 3078367
07/02/24, 902.71, 912.00, 878.50, 906.71, 4584602
07/01/24, 911.77, 916.83, 904.31, 914.37, 2546119
06/28/24, 911.31, 915.54, 905.38, 905.38, 3375426
06/27/24, 903.53, 909.57, 899.72, 909.04, 1948132
06/26/24, 904.00, 906.345, 897.84, 901.26, 2232075
06/25/24, 891.77, 909.42, 891.50, 904.61, 2839806
06/24/24, 889.975, 903.5786, 882.94, 890.11, 2878199
06/21/24, 885.66, 891.97, 879.80, 883.88, 3448680
06/20/24, 893.00, 905.45, 870.13, 885.99, 3359987
06/18/24, 887.00, 894.87, 884.00, 891.46, 2437038
06/17/24, 878.00, 892.20, 876.86, 885.01, 2532240
06/14/24, 882.33, 884.61, 876.00, 878.45, 2023264
06/13/24, 869.025, 885.06, 861.50, 883.33, 2243419
06/12/24, 872.00, 872.00, 853.85, 867.30, 2594601
06/11/24, 882.14, 882.14, 852.23, 865.82, 4109073
06/10/24, 853.98, 871.63, 849.39, 865.00, 3444498
06/07/24, 837.76, 856.81, 837.01, 849.99, 2468834
06/06/24, 834.88, 846.9742, 831.88, 837.29, 2108975
06/05/24, 830.49, 838.45, 817.62, 831.76, 2169003
06/04/24, 834.00, 835.47, 825.31, 832.59, 1748288
06/03/24, 823.83, 838.28, 818.50, 831.26, 2537239
05/31/24, 818.80, 826.21, 811.10, 820.34, 4472119
05/30/24, 812.79, 819.99, 806.11, 815.06, 1986290
05/29/24, 803.00, 815.61, 802.09, 811.53, 2380041
05/28/24, 809.00, 809.00, 788.25, 807.86, 2483454
05/24/24, 808.00, 810.12, 804.15, 807.43, 1778120
05/23/24, 810.00, 820.605, 802.155, 808.45, 3025781
05/22/24, 801.00, 804.88, 795.25, 802.91, 1767519
05/21/24, 792.46, 816.61, 791.39, 803.17, 4334499
05/20/24, 766.90, 784.325, 766.12, 783.18, 2188818
05/17/24, 772.89, 774.87, 767.10, 770.00, 1670317
05/16/24, 784.71, 786.48, 770.14, 771.12, 2299653
05/15/24, 764.15, 787.66, 763.10, 787.02, 3038253
05/14/24, 751.52, 764.50, 751.52, 763.98, 1956229
05/13/24, 763.50, 763.55, 750.53, 757.70, 1848926
