Date, Open, High, Low, Close, Volume
12/31/24, 98.50, 99.53, 98.434, 99.48, 6598522
12/30/24, 99.57, 99.57, 98.27, 98.37, 6848715
12/27/24, 99.50, 100.35, 99.24, 99.70, 6173658
12/26/24, 99.09, 99.94, 98.92, 99.87, 4760750
12/24/24, 99.22, 99.64, 98.795, 99.45, 3713479
12/23/24, 99.09, 99.59, 98.2009, 99.37, 8460460
12/20/24, 98.83, 99.68, 97.90, 98.05, 29289740
12/19/24, 98.56, 99.935, 97.82, 99.52, 12110780
12/18/24, 100.19, 101.50, 98.27, 98.34, 11993420
12/17/24, 99.90, 100.80, 99.36, 100.06, 13975080
12/16/24, 101.253, 102.28, 100.05, 100.06, 11701060
12/13/24, 101.13, 102.57, 100.53, 102.00, 10118230
12/12/24, 101.69, 103.00, 100.12, 101.25, 9554399
12/11/24, 100.70, 101.45, 99.26, 99.75, 21612980
12/10/24, 103.77, 103.77, 100.74, 101.00, 11359440
12/09/24, 102.86, 105.0681, 102.33, 103.79, 19162471
12/06/24, 103.605, 103.945, 102.69, 103.09, 11470670
12/05/24, 101.49, 104.14, 101.35, 103.55, 11062660
12/04/24, 102.03, 102.09, 101.05, 101.37, 11314990
12/03/24, 100.75, 102.45, 100.62, 101.85, 11395590
12/02/24, 101.73, 101.85, 100.46, 100.61, 13703140
11/29/24, 102.875, 103.04, 101.53, 101.64, 6081177
11/27/24, 101.65, 103.45, 101.64, 103.12, 9802172
11/26/24, 101.48, 101.80, 99.70, 101.62, 9324084
11/25/24, 100.085, 101.74, 99.51, 101.16, 34659090
11/22/24, 100.33, 101.785, 98.93, 99.18, 14031190
11/21/24, 97.72, 100.48, 96.95, 99.86, 15670300
11/20/24, 96.98, 98.84, 96.66, 97.44, 12136770
11/19/24, 96.73, 97.55, 95.26, 96.54, 13093070
11/18/24, 96.56, 97.29, 95.42, 96.56, 14140330
11/15/24, 97.92, 97.92, 94.48, 96.31, 16464510
11/14/24, 99.18, 99.40, 97.95, 98.36, 8704483
11/13/24, 98.51, 99.45, 97.90, 98.50, 8869661
11/12/24, 100.76, 100.77, 98.50, 98.58, 12282890
11/11/24, 102.53, 103.40, 100.46, 100.73, 10075260
11/08/24, 101.48, 103.23, 101.00, 102.92, 9208036
11/07/24, 101.44, 101.69, 100.85, 101.17, 8676105
11/06/24, 103.18, 103.23, 100.60, 100.73, 9551335
11/05/24, 101.36, 101.73, 100.52, 101.65, 6741403
11/04/24, 102.00, 102.53, 100.945, 101.87, 9182560
11/01/24, 101.78, 102.72, 101.21, 101.88, 10180980
10/31/24, 100.93, 103.23, 98.60, 102.32, 17413051
10/30/24, 103.46, 105.00, 102.90, 104.83, 13897190
10/29/24, 104.315, 105.11, 103.70, 103.73, 9296241
10/28/24, 104.60, 105.00, 103.93, 104.23, 6968944
10/25/24, 106.49, 106.49, 103.86, 103.98, 9625498
10/24/24, 106.05, 106.62, 105.26, 105.88, 8295933
10/23/24, 106.74, 107.3623, 106.20, 106.38, 8271659
10/22/24, 105.91, 106.90, 105.71, 106.64, 11576050
10/21/24, 109.08, 109.17, 106.18, 106.34, 11444860
10/18/24, 109.90, 109.92, 108.555, 108.70, 9523037
10/17/24, 110.135, 110.19, 109.50, 109.75, 8541678
10/16/24, 111.00, 111.20, 109.02, 110.42, 8729248
10/15/24, 109.96, 111.58, 109.89, 111.53, 9109498
10/14/24, 109.43, 110.065, 108.68, 109.69, 8130716
10/11/24, 109.10, 109.915, 107.90, 109.73, 8578442
10/10/24, 110.70, 110.83, 109.17, 109.40, 6006681
10/09/24, 108.41, 110.30, 108.20, 110.27, 8627785
10/08/24, 107.97, 108.75, 107.81, 108.52, 8832415
10/07/24, 109.695, 110.98, 108.18, 108.59, 8654772
10/04/24, 109.49, 110.30, 109.39, 109.77, 9721325
10/03/24, 111.82, 112.08, 109.825, 110.18, 10280550
10/02/24, 114.55, 114.60, 111.98, 112.08, 9041754
